Manufacturer,Model.Name,Category,Screen,CPU,Storage,GPU,Operating.System,Weight,Price,CPU.Speed,Storage.Type,GPU.Rank,Storage.Size,RAM.Size,Screen.Size,Category.Type,GPU.Speed
Apple,"MacBook 12""",Ultrabook,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,256GB SSD,Intel HD Graphics 615,macOS,0.92,1262.4,1.2,1,1043,256,8,30.48,2,1594
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,2.3,1,698,256,8,33.782,2,1939
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon R5 M430,Windows,2.2,745,2.7,1,1117,256,8,39.624,1,1520
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,512GB SSD,AMD Radeon Pro 560,macOS,1.83,2858,2.9,1,659,512,16,39.116,2,1978
Lenovo,IdeaPad 320-15IKB,Notebook,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,499,2.4,0,659,1024,8,39.624,1,1978
Dell,XPS 13,Ultrabook,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,128GB SSD,Intel UHD Graphics 620,Windows,1.22,979,1.6,1,809,128,8,33.782,2,1828
Asus,Vivobook E200HA,Netbook,1366x768,Intel Atom x5-Z8350 1.44GHz,32GB Flash Storage,Intel HD Graphics 400,Windows,0.98,191.9,1.4,1,1487,32,2,29.464,4,1150
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,2.5,999,2.5,1,270,1024,8,39.624,6,2367
HP,255 G6,Notebook,1366x768,AMD E-Series E2-9000e 1.5GHz,500GB HDD,AMD Radeon R2,No OS,1.86,258,1.5,0,1540,500,4,39.624,1,1097
Dell,Inspiron 5379,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.62,819,1.6,1,809,256,8,33.782,3,1828
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel HD Graphics 620,Windows,1.91,659,1.8,1,885,256,8,39.624,2,1752
Dell,Inspiron 3567,Notebook,1366x768,Intel Core i3 6006U 2GHz,1TB HDD,Intel HD Graphics 520,Windows,2.3,418.64,2,0,921,1024,4,39.624,1,1716
Apple,MacBook Air,Ultrabook,1440x900,Intel Core i5 1.6GHz,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,1.35,1099,1.6,1,934,128,8,33.782,2,1703
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,AMD Radeon 530,Windows,2.2,800,1.6,1,870,256,8,39.624,1,1767
Dell,Latitude 5590,Ultrabook,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,1.88,1298,1.9,1,809,256,8,39.624,2,1828
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,1TB HDD,Nvidia GeForce 930MX,Windows,2.5,896,1.6,0,707,1024,8,43.942,1,1930
Chuwi,"LapBook 15.6""",Notebook,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,64GB Flash Storage,Intel HD Graphics,Windows,1.89,244.99,1.4,1,1487,64,4,39.624,1,1150
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,1366x768,AMD E-Series E2-6110 1.5GHz,32GB Flash Storage,AMD Radeon R2,Windows,1.65,199,1.5,1,1540,32,2,35.56,1,1097
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,500GB HDD,AMD Radeon 530,Windows,2.71,439,2.5,0,870,500,4,43.942,1,1767
Dell,XPS 13,Ultrabook,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620,Windows,1.2,1869,1.8,1,809,512,16,33.782,2,1828
Apple,MacBook Air,Ultrabook,1440x900,Intel Core i5 1.6GHz,256GB Flash Storage,Intel HD Graphics 6000,Mac OS,1.35,998,1.6,1,934,256,8,33.782,2,1703
Lenovo,IdeaPad 120S-14IAP,Notebook,1366x768,Intel Celeron Dual Core N3350 1.1GHz,64GB Flash Storage,Intel HD Graphics 500,Windows,1.44,249,1.1,1,1487,64,4,35.56,1,1150
Acer,Aspire 3,Notebook,1366x768,Intel Core i3 7130U 2.7GHz,1TB HDD,Intel HD Graphics 620,Linux,2.1,367,2.7,0,885,1024,4,39.624,1,1752
Dell,Inspiron 5770,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,2.8,979,1.6,1,870,1024,8,43.942,1,1767
HP,250 G6,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,1TB HDD,Intel HD Graphics 620,Windows,1.86,488.69,2.5,0,885,1024,4,39.624,1,1752
HP,ProBook 450,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Nvidia GeForce 930MX,Windows,2.1,879,1.6,1,707,256,8,39.624,1,1930
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,1TB HDD,Intel HD Graphics 620,Linux,2,389,2,0,885,1024,4,39.624,1,1752
Dell,Inspiron 7577,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,2.65,1499,2.8,1,163,1024,16,39.624,6,2474
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,522.99,2.5,0,659,1024,8,39.624,1,1978
Acer,Aspire A515-51G,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,2.2,682,1.6,1,809,256,4,39.624,1,1828
Dell,Inspiron 7773,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,1TB HDD,Nvidia GeForce 150MX,Windows,2.77,999,1.6,0,469,1024,12,43.942,3,2168
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,256GB SSD,Intel Iris Graphics 540,macOS,1.37,1419,2,1,721,256,8,33.782,2,1916
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel Core i3 6006U 2GHz,128GB SSD,Intel HD Graphics 520,No OS,2.2,369,2,1,921,128,4,39.624,1,1716
Asus,Rog Strix,Gaming,Full HD 1920x1080,AMD Ryzen 1700 3GHz,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,3.2,1299,3,1,143,1024,8,43.942,6,2494
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,AMD Radeon R5 M430,Windows,2.3,639,2.5,1,1117,256,4,39.624,1,1520
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,1366x768,Intel Pentium Quad Core N4200 1.1GHz,1TB HDD,Nvidia GeForce 920MX,Windows,2.8,466,1.1,0,784,1024,4,43.942,1,1853
Lenovo,Yoga Book,2 in 1 Convertible,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,319,1.4,1,1487,64,4,25.654,3,1150
Acer,Aspire A515-51G,Notebook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce MX150,Windows,2.2,841,1.8,1,469,256,8,39.624,1,2168
HP,255 G6,Notebook,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,256GB SSD,AMD Radeon R4 Graphics,Windows,1.86,398.49,2.5,1,1454,256,4,39.624,1,1183
HP,ProBook 430,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620,Windows,1.49,1103,1.8,1,809,512,8,33.782,1,1828
Acer,Aspire 3,Notebook,1366x768,Intel Core i3 7100U 2.4GHz,1TB HDD,Intel HD Graphics 620,Windows,2.4,384,2.4,0,885,1024,4,39.624,1,1752
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon 520,Windows,2.13,767.8,1.8,1,948,256,8,39.624,1,1689
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,128GB SSD,Intel HD Graphics 520,Windows,1.91,439,2,1,921,128,4,39.624,1,1716
Asus,VivoBook Max,Notebook,1366x768,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,2,586.19,2.5,1,885,256,4,39.624,1,1752
MSI,GS73VR 7RG,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,2.43,2449,2.8,1,111,2048,16,43.942,6,2526
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,256GB SSD,Intel HD Graphics 520,Linux,2,415,2,1,921,256,4,39.624,1,1716
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,2.8,1299,1.8,1,870,2048,16,43.942,1,1767
Dell,Vostro 5471,Ultrabook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.7,879,1.6,1,809,256,8,35.56,2,1828
Lenovo,IdeaPad 520S-14IKB,Notebook,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,256GB SSD,Intel HD Graphics 620,No OS,1.7,599,2.7,1,885,256,8,35.56,1,1752
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.4,941,1.6,1,809,256,8,35.56,1,1828
HP,250 G6,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.86,690,2.5,1,885,256,8,39.624,1,1752
Asus,ZenBook Pro,Ultrabook,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,1.8,1983,2.8,1,216,512,16,39.624,2,2421
HP,250 G6,Notebook,1366x768,Intel Core i3 6006U 2GHz,500GB HDD,AMD Radeon 520,Windows,1.86,438.69,2,0,948,500,4,39.624,1,1689
HP,Stream 14-AX040wm,Notebook,1366x768,Intel Celeron Dual Core N3060 1.6GHz,32GB SSD,Intel HD Graphics 400,Windows,1.44,229,1.6,1,1487,32,4,35.56,1,1150
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,1TB HDD,Intel HD Graphics 620,Windows,1.9,549,2.5,0,885,1024,4,39.624,1,1752
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3,949,2.8,0,216,1024,12,43.942,6,2421
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,128GB SSD,Intel HD Graphics 620,Windows,1.252,1089,2.5,1,885,128,4,34.29,2,1752
Dell,Inspiron 5370,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon 530,Windows,1.4,955,1.8,1,870,256,8,33.782,2,1767
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,AMD Radeon 530,Windows,2.2,870,1.8,1,870,256,8,39.624,1,1767
MSI,GL72M 7RDX,Gaming,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,2.7,1095,2.5,1,270,1024,8,43.942,6,2367
Acer,Aspire E5-475,Notebook,1366x768,Intel Core i3 6006U 2GHz,1TB HDD,Intel HD Graphics 520,Windows,2.1,389,2,0,921,1024,8,35.56,1,1716
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,1TB HDD,Nvidia GeForce GTX 1050,Windows,2.2,949,2.8,0,270,1024,8,39.624,6,2367
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,2TB HDD,Intel HD Graphics 620,No OS,2.2,519,2.5,0,885,2048,8,39.624,1,1752
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows,2.02,855,1.8,1,809,1024,8,39.624,1,1828
Acer,Aspire A515-51G-32MX,Notebook,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,1TB HDD,Nvidia GeForce MX130,Windows,2.2,530,2.7,0,562,1024,4,39.624,1,2075
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,2.5,977,1.6,1,707,1024,8,43.942,1,1930
Dell,Latitude 5590,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.88,1096.16,1.6,1,809,256,8,39.624,2,1828
Apple,"MacBook 12""",Ultrabook,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,512GB SSD,Intel HD Graphics 615,macOS,0.92,1510,1.3,1,1043,512,8,30.48,2,1594
HP,ProBook 440,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel HD Graphics 620,Windows,1.63,860,1.6,1,885,256,8,35.56,1,1752
Lenovo,IdeaPad 320-15AST,Notebook,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,128GB SSD,AMD R4 Graphics,Windows,2.2,399,2.5,1,1454,128,4,39.624,1,1183
Acer,Aspire 3,Notebook,1366x768,AMD A9-Series 9420 3GHz,1TB HDD,AMD Radeon R5,Windows,2.1,395,3,0,832,1024,4,39.624,1,1805
Dell,Inspiron 7577,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,2.65,1349,2.8,1,216,1024,16,39.624,6,2421
HP,Pavilion 15-CK000nv,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce GTX 940MX,Windows,1.83,699,1.8,1,659,256,8,39.624,2,1978
HP,250 G6,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.96,598.99,2.5,1,885,256,8,39.624,1,1752
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,2.2,1449,2.8,1,163,1024,16,39.624,6,2474
Dell,XPS 13,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.21,1649,1.8,1,809,256,8,33.782,2,1828
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,Full HD 1920x1080,AMD FX 9830P 3GHz,1TB HDD,AMD Radeon RX 560,Windows,2.45,699,3,0,319,1024,8,39.624,6,2318
Acer,Aspire 5,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,1TB HDD,Nvidia GeForce MX150,Windows,2.2,689,1.8,0,469,1024,8,39.624,1,2168
HP,Probook 430,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620,Windows,1.49,1197,1.8,1,809,512,16,33.782,1,1828
Dell,Inspiron 7577,Gaming,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,256GB SSD,Nvidia GeForce GTX 1060,Windows,2.65,1195,2.5,1,163,256,8,39.624,6,2474
Asus,Zenbook UX430UA,Ultrabook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,1.25,1049,2.7,1,885,256,8,35.56,2,1752
Acer,Spin 5,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.5,847,1.6,1,809,256,8,33.782,3,1828
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,1TB HDD,AMD Radeon R5 M430,Linux,2.2,599.9,2.7,0,1117,1024,8,39.624,1,1520
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,256GB SSD,AMD Radeon R5 M430,Linux,2.2,485,2,1,1117,256,4,39.624,1,1520
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,256GB SSD,Nvidia GeForce 920M,Windows,2,577,2.4,1,1047,256,6,39.624,1,1590
HP,Omen 15-ce007nv,Gaming,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,2.62,1249,2.8,1,270,1024,12,39.624,6,2367
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,AMD Radeon 530,Windows,1.91,719,2.7,1,870,256,8,39.624,1,1767
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,500GB HDD,AMD Radeon R2,Windows,2.1,349,1.5,0,1540,500,4,39.624,1,1097
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,1TB HDD,AMD Radeon 520,Linux,2.2,647,1.6,0,948,1024,8,39.624,1,1689
HP,Envy 13-ad009n,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce MX150,Windows,1.38,1119,2.7,1,469,256,8,33.782,2,2168
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.252,1340,2.5,1,885,256,8,34.29,2,1752
HP,Pavilion 14-BK001nv,Notebook,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 940MX,Windows,1.58,659,2.5,1,659,256,6,35.56,1,1978
Lenovo,Ideapad 310-15ISK,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,1TB HDD,Intel HD Graphics 520,Windows,1.85,414.9,2,0,921,1024,4,39.624,1,1716
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Nvidia GeForce 940MX,Windows,1.3,1193,2.7,1,659,256,8,35.56,2,1978
MSI,GP62M 7REX,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,2.2,1299,2.8,1,216,1024,16,39.624,6,2421
Lenovo,Thinkpad T470,Notebook,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,256GB SSD,Intel HD Graphics 620,Windows,1.58,1480,2.7,1,885,256,8,35.56,1,1752
Asus,VivoBook S15,Ultrabook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows,1.5,1262,1.8,1,469,1024,16,39.624,2,2168
Dell,XPS 13,Ultrabook,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,256GB SSD,Intel Iris Plus Graphics 640,Windows,1.23,1379,2.4,1,698,256,8,33.782,2,1939
Lenovo,ThinkPad Yoga,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Intel HD Graphics 620,Windows,1.37,1399,2.5,1,885,256,8,33.782,3,1752
HP,Probook 440,Notebook,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,500GB HDD,Intel UHD Graphics 620,Windows,1.63,722,1.6,0,809,500,4,35.56,1,1828
Dell,XPS 13,Ultrabook,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.21,1629,1.6,1,809,256,8,33.782,2,1828
HP,Spectre x360,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,1.26,1398.99,1.6,1,809,256,8,33.782,3,1828
HP,Probook 440,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,512GB SSD,Intel UHD Graphics 620,Windows,1.63,1084,1.8,1,809,512,8,35.56,1,1828
Dell,Inspiron 7570,Notebook,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows,2.16,1130.33,1.8,1,659,1024,8,39.624,1,1978
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,Full HD 1920x1080,Intel Core i3 6006U 2GHz,1TB HDD,Nvidia GeForce 920MX,Windows,2,564,2,0,784,1024,4,43.942,1,1853
Asus,VivoBook S15,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD,Nvidia GeForce 940MX,Windows,1.7,1118,1.8,1,659,256,8,39.624,1,1978
Acer,Spin 3,Notebook,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,1TB HDD,Intel HD Graphics 620,Windows,2.1,479,2.4,0,885,1024,6,39.624,1,1752
MSI,GS63VR 7RG,Gaming,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,1.8,2241.5,2.8,1,111,2048,16,39.624,6,2526
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,629,2.5,1,659,256,8,39.624,1,1978
HP,Probook 470,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,512GB SSD,Nvidia GeForce 930MX,Windows,2.5,1271,1.8,1,707,512,16,43.942,1,1930
Acer,Aspire 3,Notebook,1366x768,AMD A9-Series 9420 3GHz,256GB SSD,AMD Radeon R5,Windows,2.1,451,3,1,832,256,4,39.624,1,1805
HP,250 G6,Notebook,1366x768,Intel Celeron Dual Core N3060 1.6GHz,500GB HDD,Intel HD Graphics 400,No OS,1.86,259,1.6,0,1487,500,4,39.624,1,1150
HP,Probook 440,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,1TB HDD,Intel UHD Graphics 620,Windows,1.63,812,1.6,0,809,1024,8,35.56,1,1828
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,1366x768,AMD E-Series 6110 1.5GHz,64GB SSD,AMD Radeon R2,Windows,1.65,277.99,1.5,1,1540,64,4,35.56,1,1097
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,2.8,1396,1.8,1,870,2048,16,43.942,1,1767
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,256GB SSD,Intel UHD Graphics 620,Windows,2.5,928,1.6,1,809,256,8,43.942,1,1828
